Date,Discharge,BOD,TSS,OG,pH,Phenols,COD
10/2/2015,,,8,nil,7,<0.1,36
10/3/2015,,,20,nil,8,<0.1,41
10/4/2015,,,13,nil,8,<0.1,43
10/5/2015,,16,15,nil,8,<0.1,19
10/6/2015,,,No data,nil,7,<0.1,14
10/7/2015,,,21,nil,7.8,<0.1,11
10/8/2015,No discharge,,56,nil,7,<0.1,62
10/9/2015,No discharge,,63,nil,8,<0.1,62
10/10/2015,,,No data,nil,8,<0.1,60
10/11/2015,,,29,nil,No data,<0.1,37
10/12/2015,,10,24,nil,7,<0.1,35
10/13/2015,,,16,nil,7,<0.1,60
10/14/2015,,,18,nil,7,<0.1,34
10/15/2015,,,15,nil,7,<0.1,54
10/16/2015,,,No data,nil,7,<0.1,51
10/17/2015,No discharge,,53,nil,7,<0.1,52
10/18/2015,,,5,nil,7,<0.1,60
10/19/2015,No discharge,,6,nil,7,<0.1,168
10/20/2015,No discharge,14,13,nil,7,<0.1,164
10/21/2015,No discharge,,15,nil,7,<0.1,95
10/22/2015,No discharge,,No data,nil,6,<0.1,71
10/23/2015,No discharge,,No data,nil,7,<0.1,93
10/24/2015,,,No data,nil,7,<0.1,40
10/25/2015,,,No data,nil,8,<0.1,48
10/26/2015,,11,No data,nil,8,<0.1,60
10/27/2015,No discharge,,106,nil,8,<0.1,49
10/28/2015,No discharge,,111,nil,8,<0.1,54
10/29/2015,No discharge,,98,nil,8,<0.1,60
10/30/2015,,,39,nil,7,<0.1,60
10/31/2015,No discharge,,158,nil,8,<0.1,60
11/1/2015,No discharge,,128,nil,8,<0.1,40
11/2/2015,,8,22,nil,7,<0.1,36
11/3/2015,,,21,nil,8,<0.1,45
11/4/2015,,,27,nil,8,<0.1,41
11/5/2015,,,46,nil,8,<0.1,60
11/6/2015,No discharge,,145,nil,8,<0.1,44
11/7/2015,No discharge,,83,nil,7,<0.1,58
11/8/2015,,,43,nil,7,<0.1,32
11/9/2015,,6,No data,nil,8,<0.1,36
11/10/2015,,,47,nil,8,<0.1,60
11/11/2015,No discharge,,151,nil,7,<0.1,64
11/12/2015,,,No data,nil,8,<0.1,42
11/13/2015,No discharge,,32,nil,8,<0.1,123
11/14/2015,No discharge,,35,nil,8,<0.1,65
11/15/2015,,,No data,nil,No data,<0.1,51
11/16/2015,No discharge,21,No data,nil,7,<0.1,131
11/17/2015,No discharge,,No data,nil,8,<0.1,114
11/18/2015,No discharge,,28,nil,8,<0.1,136
11/19/2015,No discharge,,12,nil,8,<0.1,90
11/20/2015,No discharge,,40,nil,9,<0.1,92
11/21/2015,No discharge,,58,nil,8,<0.1,59
11/22/2015,,,42,nil,8,<0.1,57
11/23/2015,,7,4,nil,7,<0.1,56
11/24/2015,No discharge,,34,nil,8,<0.1,92
11/25/2015,No discharge,,80,nil,8,<0.1,72
11/26/2015,No discharge,,No data,nil,8,<0.1,76
11/27/2015,No discharge,,86,nil,8,<0.1,72
11/28/2015,No discharge,,65,nil,8,<0.1,55
11/29/2015,,,48,nil,8,<0.1,59
