"Date","Discharge","BOD","TSS","OG","pH","Phenols","COD","Source"
2015-12-02,NA,NA,NA,1.33,7,0.01,21,"WWTP-1"
2015-12-03,NA,NA,NA,1.33,7,0.01,27,"WWTP-1"
2015-12-04,NA,NA,NA,1.33,7,0.01,28,"WWTP-1"
2015-12-05,NA,NA,NA,1.33,7,0.01,21,"WWTP-1"
2015-12-06,NA,NA,NA,1.33,7,0.01,24,"WWTP-1"
2015-12-07,NA,19,23,1.33,7,0.01,26,"WWTP-1"
2015-12-08,NA,NA,NA,1.33,7,0.01,16,"WWTP-1"
2015-12-09,NA,NA,NA,1.33,7,0.01,26,"WWTP-1"
2015-12-10,NA,NA,NA,1.33,7,0.01,31,"WWTP-1"
2015-12-11,NA,NA,NA,1.33,7,0.01,25,"WWTP-1"
2015-12-12,NA,NA,NA,1.33,7,0.01,23,"WWTP-1"
2015-12-13,NA,NA,NA,2,7,0.01,35,"WWTP-1"
2015-12-14,NA,11,23,3,7,0.01,27,"WWTP-1"
2015-12-15,NA,NA,NA,1.33,7,0.01,24,"WWTP-1"
2015-12-16,NA,NA,NA,1.33,7,0.01,44,"WWTP-1"
2015-12-17,NA,NA,NA,1.33,7,0.01,36,"WWTP-1"
2015-12-18,NA,NA,NA,1.33,7,0.01,21,"WWTP-1"
2015-12-19,NA,NA,NA,1.33,7,0.01,22,"WWTP-1"
2015-12-20,NA,NA,NA,1.33,7,0.01,40,"WWTP-1"
2015-12-21,NA,4,28,1.33,7,0.01,24,"WWTP-1"
2015-12-22,NA,NA,NA,1.33,7,0.01,31,"WWTP-1"
2015-12-23,NA,NA,NA,3,7,0.01,27,"WWTP-1"
2015-12-24,NA,NA,NA,2,7,0.01,25,"WWTP-1"
2015-12-25,NA,NA,NA,1.33,7,0.01,40,"WWTP-1"
2015-12-26,NA,NA,NA,1.33,7,0.01,39,"WWTP-1"
2015-12-27,NA,NA,NA,1.33,7,0.01,57,"WWTP-1"
2015-12-28,NA,NA,NA,1.33,7,0.01,39,"WWTP-1"
2015-12-29,NA,NA,NA,1.33,7,0.01,26,"WWTP-1"
2015-12-30,NA,NA,NA,1.33,7,0.01,24,"WWTP-1"
2015-12-31,NA,NA,NA,1.33,7,0.01,47,"WWTP-1"
2016-01-01,NA,NA,NA,1.33,7,0.02,38,"WWTP-1"
2016-01-02,NA,NA,NA,1.33,7,0.01,38,"WWTP-1"
2016-01-03,NA,NA,NA,0,7,0.03,27,"WWTP-1"
2016-01-04,NA,5,17,1.33,7,0.03,49,"WWTP-1"
2016-01-05,NA,NA,NA,1.33,7,0.01,54,"WWTP-1"
2016-01-06,NA,NA,NA,1.33,7,0.04,58,"WWTP-1"
2016-01-07,NA,NA,NA,1.33,7,0.05,42,"WWTP-1"
2016-01-08,NA,NA,NA,1.33,7,0.02,39,"WWTP-1"
2016-01-09,NA,NA,NA,1.33,7,0.04,21,"WWTP-1"
2016-01-10,NA,NA,NA,0,7,0.02,35,"WWTP-1"
2016-01-11,NA,15,12,1.33,7,0.04,38,"WWTP-1"
2016-01-12,NA,NA,NA,1.33,7,0.02,27,"WWTP-1"
2016-01-13,NA,NA,NA,1.33,7,0.02,33,"WWTP-1"
2016-01-14,NA,NA,NA,1.33,7,0.01,27,"WWTP-1"
2016-01-15,NA,NA,NA,1.33,7,0.02,26,"WWTP-1"
2016-01-16,NA,NA,NA,1.33,7,0.04,21,"WWTP-1"
2016-01-17,NA,NA,NA,0,7,0.03,26,"WWTP-1"
2016-01-18,NA,9,37,1.33,7,0.02,28,"WWTP-1"
2016-01-19,NA,NA,NA,1.33,7,0.05,45,"WWTP-1"
2016-01-20,NA,NA,NA,1.33,7,0.02,19,"WWTP-1"
2016-01-21,NA,NA,NA,1.33,7,0.01,18,"WWTP-1"
2016-01-22,NA,NA,NA,1.33,7,0.02,18,"WWTP-1"
2016-01-23,NA,NA,NA,1.33,7,0.02,48,"WWTP-1"
2016-01-24,NA,NA,NA,0,7,0.03,24,"WWTP-1"
2016-01-25,NA,23,8,1.33,7,0.04,31,"WWTP-1"
2016-01-26,NA,NA,NA,1.33,7,0.04,48,"WWTP-1"
2016-01-27,NA,NA,NA,1.33,7,0.04,27,"WWTP-1"
2016-01-28,NA,NA,NA,1.33,7,0.02,15,"WWTP-1"
2016-01-29,NA,NA,NA,1.33,7,0.02,14,"WWTP-1"
2016-01-30,NA,NA,NA,1.33,7,0.01,28,"WWTP-1"
2016-01-31,NA,NA,NA,0,8,0.05,53,"WWTP-1"
2016-02-01,NA,23,24,1.33,7,0.05,34,"WWTP-1"
2016-02-02,NA,NA,NA,1.33,7,0.03,28,"WWTP-1"
2016-02-03,NA,NA,NA,1.33,7,0.01,26,"WWTP-1"
2016-02-04,NA,NA,NA,1.33,7,0.01,19,"WWTP-1"
2016-02-05,NA,NA,NA,1,7,0.01,47,"WWTP-1"
2016-02-06,NA,NA,NA,1,7,0.01,48,"WWTP-1"
2016-02-07,NA,NA,NA,1.33,7,0.04,38,"WWTP-1"
2016-02-08,NA,NA,NA,2.66,7,0.01,58,"WWTP-1"
2016-02-09,NA,22,30,1.33,7,0.03,53,"WWTP-1"
2016-02-10,NA,NA,NA,1.33,7,0.02,53,"WWTP-1"
2016-02-11,NA,NA,NA,1,7,0.01,56,"WWTP-1"
2016-02-12,NA,NA,NA,0,7,0.05,45,"WWTP-1"
2016-02-13,NA,NA,NA,1.33,7,0.01,48,"WWTP-1"
2016-02-14,NA,NA,NA,0,7,0.03,42,"WWTP-1"
2016-02-15,NA,22,25,0,7,0.04,47,"WWTP-1"
2016-02-16,NA,NA,NA,1.33,7,0.02,51,"WWTP-1"
2016-02-17,NA,NA,NA,0,7,0.02,45,"WWTP-1"
2016-02-18,NA,NA,NA,1.33,7,0.02,50,"WWTP-1"
2016-02-19,NA,NA,NA,1.33,7,0.02,54,"WWTP-1"
2016-02-20,NA,NA,NA,0,7,0.04,55,"WWTP-1"
2016-02-21,NA,NA,NA,1.33,7,0.04,57,"WWTP-1"
2016-02-22,NA,20,37,1.33,7,0.01,59,"WWTP-1"
2016-02-23,NA,NA,NA,1.33,7,0.01,56,"WWTP-1"
2016-02-24,NA,NA,NA,0,7,0.01,58,"WWTP-1"
2016-02-25,NA,NA,NA,0,7,0.01,57,"WWTP-1"
2016-02-26,NA,NA,NA,0,7,0.02,40,"WWTP-1"
2016-02-27,NA,NA,NA,0,7,0.01,26,"WWTP-1"
2016-02-28,NA,NA,NA,0,7,0.01,32,"WWTP-1"
2016-02-29,NA,NA,NA,0,7,0.03,52,"WWTP-1"
2016-03-01,NA,NA,NA,0,7,0.01,23,"WWTP-1"
2016-03-02,NA,NA,NA,0,7,0.03,32,"WWTP-1"
2016-03-03,NA,NA,NA,1.33,7,0.01,35,"WWTP-1"
2016-03-04,NA,NA,NA,1.33,7,0.04,38,"WWTP-1"
2016-03-05,NA,NA,NA,1.33,7,0.01,52,"WWTP-1"
2016-03-06,NA,NA,NA,0,7,0.02,56,"WWTP-1"
2016-03-07,NA,25,28,1.33,7,0.01,60,"WWTP-1"
2016-03-08,NA,NA,NA,0,7,0.01,53,"WWTP-1"
2016-03-09,NA,NA,NA,0,7,0.01,41,"WWTP-1"
2016-03-10,NA,NA,NA,0,7,0.05,33,"WWTP-1"
2016-03-11,NA,NA,NA,0,7,0.01,10,"WWTP-1"
2016-03-12,NA,NA,NA,0,7,0.01,35,"WWTP-1"
2016-03-13,NA,NA,NA,0,7,0.02,41,"WWTP-1"
2016-03-14,NA,28,11,1.33,7,0.02,59,"WWTP-1"
2016-03-15,NA,NA,NA,0,7,0.01,56,"WWTP-1"
2016-03-16,NA,NA,NA,0,7,0.01,58,"WWTP-1"
2016-03-17,NA,NA,NA,1.33,7,0.03,49,"WWTP-1"
2016-03-18,NA,NA,NA,0,7,0.01,32,"WWTP-1"
2016-03-19,NA,NA,NA,0,7,0.01,30,"WWTP-1"
2016-03-20,NA,NA,NA,0,7,0.02,21,"WWTP-1"
2016-03-21,NA,14,45,0,7,0.01,17,"WWTP-1"
2016-03-22,NA,NA,NA,0,7,0.05,43,"WWTP-1"
2016-03-23,NA,NA,NA,0,7,0.01,38,"WWTP-1"
2016-03-24,NA,NA,NA,0,7,0.03,32,"WWTP-1"
2016-03-25,NA,NA,NA,0,7,0.01,27,"WWTP-1"
2016-03-26,NA,NA,NA,1.33,7,0.02,41,"WWTP-1"
2016-03-27,NA,NA,NA,1,7,0.05,45,"WWTP-1"
2016-03-28,NA,9,12,0,7,0.01,25,"WWTP-1"
2016-03-29,NA,NA,NA,1.33,7,0.01,27,"WWTP-1"
2016-03-30,NA,NA,NA,0,7,0.02,30,"WWTP-1"
2016-03-31,NA,NA,NA,0,7,0.01,26,"WWTP-1"
2016-04-01,NA,NA,NA,NA,7,0.01,37,"WWTP-1"
2016-04-02,NA,NA,NA,1.33,7,0.01,29,"WWTP-1"
2016-04-03,NA,NA,NA,1.33,7,0.02,36,"WWTP-1"
2016-04-04,NA,23,21,1.33,7,0.04,55,"WWTP-1"
2016-04-05,NA,NA,NA,1.33,7,0.03,50,"WWTP-1"
2016-04-06,NA,NA,NA,1.33,7,0.01,48,"WWTP-1"
2016-04-07,NA,NA,NA,NA,7,0.01,54,"WWTP-1"
2016-04-08,NA,NA,NA,1.33,7,0.02,57,"WWTP-1"
2016-04-09,NA,NA,NA,NA,7,0.01,26,"WWTP-1"
2016-04-10,NA,NA,NA,NA,7,0.04,34,"WWTP-1"
2016-04-11,NA,16,33,1.33,7,0.03,22,"WWTP-1"
2016-04-12,NA,NA,NA,NA,7,0.01,43,"WWTP-1"
2016-04-13,NA,NA,NA,1.33,7,0.05,53,"WWTP-1"
2016-04-14,NA,NA,NA,1.33,7,0.02,50,"WWTP-1"
2016-04-15,NA,NA,NA,NA,7,0.01,51,"WWTP-1"
2016-04-16,NA,NA,NA,1,7,0.02,53,"WWTP-1"
2016-04-17,NA,NA,NA,2.66,7,0.04,50,"WWTP-1"
2016-04-18,NA,26,35,1.33,7,0.04,55,"WWTP-1"
2016-04-19,NA,NA,NA,2.66,7,0.05,58,"WWTP-1"
2016-04-20,NA,NA,NA,2.66,7,0.04,60,"WWTP-1"
2016-04-21,NA,NA,NA,NA,7,0.01,49,"WWTP-1"
